,NumberOfInstances,LogNumberOfInstances,NumberOfClasses,NumberOfFeatures,LogNumberOfFeatures,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfMissingValues,PercentageOfMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD
312,2407.0,7.786136437783072,2.0,299.0,5.700443573390687,0.0,0.0,0.0,0.0,0.0,0.0,294.0,6.0,49.0,0.02040816326530612,0.12422102201911092,-2.0856928643923855,8.050167224080267,2.0856928643923855,0.1790610718737017,0.8209389281262983,0.5,0.3209389281262983
316,2417.0,7.790282380703483,2.0,116.0,4.7535901911063645,0.0,0.0,0.0,0.0,0.0,0.0,103.0,14.0,7.357142857142857,0.13592233009708737,0.04799338022341746,-3.0366921895971184,20.836206896551722,3.0366921895971184,0.01406702523789822,0.9859329747621017,0.5,0.48593297476210173
333,556.0,6.320768294250582,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.01079136690647482,-4.529008825022527,92.66666666666667,4.529008825022528,0.5,0.5,0.5,0.0
334,601.0,6.398594934535208,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.009983361064891847,-4.606835465307152,100.16666666666667,4.606835465307153,0.3427620632279534,0.6572379367720466,0.5,0.1572379367720466
335,554.0,6.317164686747284,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.010830324909747292,-4.5254052175192285,92.33333333333333,4.5254052175192285,0.48014440433212996,0.51985559566787,0.5,0.019855595667870013
336,267.0,5.58724865840025,2.0,22.0,3.091042453358316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.08239700374531835,-2.4962062050419336,12.136363636363637,2.4962062050419336,0.20599250936329588,0.7940074906367042,0.5,0.29400749063670417
337,349.0,5.855071922202427,2.0,44.0,3.784189633918261,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,44.0,0.022727272727272728,0.12607449856733524,-2.070882288284166,7.931818181818182,2.070882288284166,0.2722063037249284,0.7277936962750716,0.5,0.22779369627507162
338,155.0,5.043425116919247,4.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.2857142857142857,3.5,0.05161290322580645,-2.9639835752394106,19.375,2.9639835752394106,0.12258064516129032,0.3161290322580645,0.24999999999999997,0.0758407609387661
339,36.0,3.58351893845611,3.0,22.0,3.091042453358316,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,10.5,0.09523809523809523,0.6111111111111112,-0.49247648509779407,1.6363636363636365,0.49247648509779424,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
1590,48842.0,10.79634587742716,2.0,14.0,2.6390573296152584,3620.0,0.07411653904426518,3.0,6.142254616928053e-05,6465.0,0.009454684785342825,6.0,9.0,0.6666666666666666,1.5,0.00028663854878997584,-8.157288547811902,3488.714285714286,8.157288547811902,0.23928176569346055,0.7607182343065395,0.5,0.26071823430653945
1118,28056.0,10.241957791820013,18.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.14285714285714285,7.0,0.000249500998003992,-8.296047642764702,4008.0,8.2960476427647,0.000962360992301112,0.16228257770173937,0.05555555555555555,0.05206741359580048
346,50.0,3.912023005428146,2.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.6666666666666666,1.5,0.08,-2.5257286443082556,12.5,2.5257286443082556,0.5,0.5,0.5,0.0
350,36974.0,10.51797024191239,2.0,123.0,4.812184355372417,0.0,0.0,0.0,0.0,0.0,0.0,123.0,1.0,123.0,0.008130081300813009,0.0033266619786877266,-5.7057858865399735,300.6016260162602,5.7057858865399735,0.24000649104776328,0.7599935089522367,0.5,0.2599935089522367
351,488565.0,13.099227802002172,2.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.125,1.637448445959084e-05,-11.019786260322336,61070.625,11.019786260322336,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666
375,9961.0,9.206432747145165,9.0,14.0,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,0.07142857142857142,0.0014054813773717498,-6.567375417529907,711.5,6.567375417529907,0.07850617407890774,0.16203192450557172,0.1111111111111111,0.02602109207171975
1120,19020.0,9.853246336099382,2.0,11.0,2.3978952727983707,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,11.0,0.09090909090909091,0.0005783385909568874,-7.455351063301011,1729.090909090909,7.455351063301011,0.3516298633017876,0.6483701366982124,0.5,0.14837013669821242
377,600.0,6.396929655216146,6.0,61.0,4.110873864173311,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,30.0,0.03333333333333333,0.10166666666666667,-2.286055791042835,9.836065573770492,2.286055791042835,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
383,690.0,6.536691597591305,690.0,8261.0,9.019300924562506,0.0,0.0,0.0,0.0,0.0,0.0,8261.0,1.0,8261.0,0.0001210507202517855,11.972463768115942,2.4826093269712004,0.08352499697373199,-2.4826093269712004,1.0,1.0,1.0,0.0
384,336.0,5.817111159963204,336.0,7902.0,8.974871170971337,0.0,0.0,0.0,0.0,0.0,0.0,7902.0,1.0,7902.0,0.00012655024044545685,23.517857142857142,3.157760011008132,0.0425208807896735,-3.157760011008132,1.0,1.0,1.0,0.0
386,913.0,6.816735880594968,913.0,3100.0,8.039157390473237,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,1.0,3100.0,0.0003225806451612903,3.3953997809419496,1.2224215098782691,0.29451612903225804,-1.2224215098782691,1.0,1.0,1.0,0.0
387,414.0,6.025865973825314,414.0,6429.0,8.768574284141687,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,1.0,6429.0,0.00015554518587649713,15.528985507246377,2.7427083103163725,0.06439570695286981,-2.7427083103163725,1.0,1.0,1.0,0.0
388,204.0,5.318119993844216,204.0,5832.0,8.671115273688494,0.0,0.0,0.0,0.0,0.0,0.0,5832.0,1.0,5832.0,0.00017146776406035664,28.58823529411765,3.352995279844278,0.03497942386831276,-3.3529952798442775,1.0,1.0,1.0,0.0
391,1504.0,7.315883504509785,1504.0,2886.0,7.9676267393338165,0.0,0.0,0.0,0.0,0.0,0.0,2886.0,1.0,2886.0,0.0003465003465003465,1.9188829787234043,0.6517432348240311,0.5211365211365211,-0.6517432348240312,1.0,1.0,1.0,0.0
392,1003.0,6.910750787961936,1003.0,3182.0,8.065265208897733,0.0,0.0,0.0,0.0,0.0,0.0,3182.0,1.0,3182.0,0.00031426775612822125,3.172482552342971,1.1545144209357967,0.3152105593966059,-1.1545144209357967,1.0,1.0,1.0,0.0
394,918.0,6.822197390620491,918.0,3012.0,8.010359588919783,0.0,0.0,0.0,0.0,0.0,0.0,3012.0,1.0,3012.0,0.00033200531208499334,3.281045751633987,1.1881621982992936,0.3047808764940239,-1.1881621982992938,1.0,1.0,1.0,0.0
397,313.0,5.746203190540153,313.0,5804.0,8.666302614004078,0.0,0.0,0.0,0.0,0.0,0.0,5804.0,1.0,5804.0,0.00017229496898690558,18.543130990415335,2.9200994234639253,0.053928325292901445,-2.9200994234639253,1.0,1.0,1.0,0.0
401,1050.0,6.956545443151569,1050.0,3238.0,8.08271113423758,0.0,0.0,0.0,0.0,0.0,0.0,3238.0,1.0,3238.0,0.00030883261272390367,3.083809523809524,1.1261656910860114,0.3242742433600988,-1.1261656910860114,1.0,1.0,1.0,0.0
444,132.0,4.882801922586371,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.022727272727272728,-3.784189633918261,44.0,3.784189633918261,0.4621212121212121,0.5378787878787878,0.5,0.03787878787878787
446,200.0,5.298317366548036,2.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.3333333333333333,0.035,-3.3524072174927233,28.571428571428573,3.3524072174927233,0.5,0.5,0.5,0.0
448,120.0,4.787491742782046,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.025,-3.6888794541139363,40.0,3.6888794541139363,0.35,0.65,0.5,0.15000000000000002
450,264.0,5.575949103146316,2.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.5,0.6666666666666666,0.015151515151515152,-4.189654742026425,66.0,4.189654742026425,0.07196969696969698,0.928030303030303,0.5,0.428030303030303
451,500.0,6.214608098422191,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,0.01,-4.605170185988091,100.0,4.605170185988092,0.444,0.556,0.5,0.05600000000000002
457,27.0,3.295836866004329,4.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.1111111111111111,-2.1972245773362196,9.0,2.1972245773362196,0.07407407407407407,0.4444444444444444,0.25,0.13192413748865747
458,841.0,6.734591659972948,4.0,70.0,4.248495242049359,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,70.0,0.014285714285714285,0.08323424494649227,-2.486096417923589,12.014285714285714,2.486096417923589,0.06539833531510107,0.3769322235434007,0.25,0.125047620513428
459,83.0,4.418840607796598,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.3333333333333333,3.0,0.03614457831325301,-3.3202283191284883,27.666666666666668,3.3202283191284883,0.4457831325301205,0.5542168674698795,0.5,0.054216867469879526
461,100.0,4.605170185988092,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,1.3333333333333333,0.06,-2.8134107167600364,16.666666666666668,2.8134107167600364,0.27,0.73,0.5,0.22999999999999998
462,23.0,3.1354942159291497,3.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,5.0,0.21739130434782608,-1.5260563034950494,4.6,1.5260563034950492,0.08695652173913043,0.6956521739130435,0.3333333333333333,0.2616734794966346
463,180.0,5.19295685089021,2.0,32.0,3.4657359027997265,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,0.2222222222222222,4.5,0.17777777777777778,-1.7272209480904839,5.625,1.7272209480904839,0.1388888888888889,0.8611111111111112,0.5,0.36111111111111116
464,250.0,5.521460917862246,2.0,2.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,0.008,-4.8283137373023015,125.0,4.8283137373023015,0.5,0.5,0.5,0.0
465,97.0,4.574710978503383,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.75,0.5714285714285714,0.10309278350515463,-2.2721258855093374,9.7,2.272125885509337,0.24742268041237114,0.7525773195876289,0.5,0.25257731958762886
467,52.0,3.9512437185814275,2.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,0.25,0.17307692307692307,-1.754019141245208,5.777777777777778,1.754019141245208,0.4807692307692308,0.5192307692307693,0.5,0.019230769230769246
468,72.0,4.276666119016055,6.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.041666666666666664,-3.1780538303479458,24.0,3.1780538303479458,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
469,797.0,6.680854678790215,6.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.005018820577164366,-5.294560317670324,199.25,5.294560317670324,0.15432873274780426,0.1944792973651192,0.16666666666666666,0.01365683134023898
470,672.0,6.51025834052315,2.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.013392857142857142,-4.31303376318693,74.66666666666667,4.31303376318693,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666
472,87.0,4.465908118654584,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.034482758620689655,-3.367295829986474,29.0,3.367295829986474,0.40229885057471265,0.5977011494252874,0.5,0.09770114942528738
475,400.0,5.991464547107982,4.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,5.0,0.0125,-4.382026634673881,80.0,4.382026634673881,0.25,0.25,0.25,0.0
476,50.0,3.912023005428146,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.5,0.4,0.12,-2.120263536200091,8.333333333333334,2.120263536200091,0.5,0.5,0.5,0.0
478,500.0,6.214608098422191,15.0,23.0,3.1354942159291497,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,5.0,0.2,0.046,-3.079113882493042,21.73913043478261,3.079113882493042,0.012,0.16,0.06666666666666668,0.04104414967108251
479,92.0,4.5217885770490405,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.2,0.8333333333333334,0.10869565217391304,-2.2192034840549946,9.2,2.2192034840549946,0.20652173913043478,0.7934782608695652,0.5,0.2934782608695652
480,61.0,4.110873864173311,4.0,18.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.1111111111111112,0.9,0.29508196721311475,-1.2205021062771466,3.388888888888889,1.2205021062771466,0.04918032786885246,0.639344262295082,0.25,0.23252554020498828
679,1024.0,6.931471805599453,4.0,2.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,0.001953125,-6.238324625039508,512.0,6.238324625039508,0.091796875,0.39453125,0.25,0.10874320524188763
682,87.0,4.465908118654584,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,4.5,0.2222222222222222,0.11494252873563218,-2.1633230256605382,8.7,2.163323025660538,0.41379310344827586,0.5862068965517241,0.5,0.08620689655172412
683,60.0,4.0943445622221,2.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.11666666666666667,-2.1484344131667874,8.571428571428571,2.1484344131667874,0.5,0.5,0.5,0.0
685,130.0,4.867534450455582,5.0,2.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,0.015384615384615385,-4.174387269895637,65.0,4.174387269895637,0.2,0.2,0.2,0.0
694,310.0,5.736572297479192,9.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.125,0.025806451612903226,-3.657130755799356,38.75,3.657130755799356,0.05806451612903226,0.13225806451612904,0.1111111111111111,0.02716458110608805
713,52.0,3.9512437185814275,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.057692307692307696,-2.8526314299133175,17.333333333333332,2.8526314299133175,0.46153846153846156,0.5384615384615384,0.5,0.038461538461538436
714,125.0,4.8283137373023015,2.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.6666666666666666,1.5,0.032,-3.4420193761824103,31.25,3.4420193761824107,0.392,0.608,0.5,0.10799999999999998
715,1000.0,6.907755278982137,2.0,25.0,3.2188758248682006,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,25.0,0.04,0.025,-3.6888794541139363,40.0,3.6888794541139363,0.443,0.557,0.5,0.05700000000000002
716,100.0,4.605170185988092,2.0,50.0,3.912023005428146,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,50.0,0.02,0.5,-0.6931471805599453,2.0,0.6931471805599453,0.38,0.62,0.5,0.12
717,508.0,6.230481447578482,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,0.01968503937007874,-3.927896354584436,50.8,3.927896354584436,0.43700787401574803,0.562992125984252,0.5,0.06299212598425197
718,1000.0,6.907755278982137,2.0,100.0,4.605170185988092,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,100.0,0.01,0.1,-2.3025850929940455,10.0,2.302585092994046,0.436,0.564,0.5,0.06399999999999997
719,137.0,4.919980925828125,2.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,1.6666666666666667,0.051094890510948905,-2.9740707767728116,19.571428571428573,2.9740707767728116,0.31386861313868614,0.6861313868613139,0.5,0.1861313868613139
720,4177.0,8.337348564497175,2.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.5,0.2857142857142857,0.0019152501795547043,-6.2579070228173395,522.125,6.2579070228173395,0.4982044529566675,0.5017955470433325,0.5,0.0017955470433325127
721,200.0,5.298317366548036,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,0.05,-2.995732273553991,20.0,2.995732273553991,0.485,0.515,0.5,0.015000000000000013
722,15000.0,9.615805480084347,2.0,48.0,3.871201010907891,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,48.0,0.020833333333333332,0.0032,-5.744604469176456,312.5,5.744604469176457,0.3360666666666667,0.6639333333333334,0.5,0.16393333333333335
723,1000.0,6.907755278982137,2.0,25.0,3.2188758248682006,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,25.0,0.04,0.025,-3.6888794541139363,40.0,3.6888794541139363,0.453,0.547,0.5,0.047000000000000014
724,468.0,6.148468295917647,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.00641025641025641,-5.049856007249537,156.0,5.049856007249537,0.4444444444444444,0.5555555555555556,0.5,0.05555555555555558
725,8192.0,9.010913347279288,2.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.125,0.0009765625,-6.931471805599453,1024.0,6.931471805599453,0.4036865234375,0.5963134765625,0.5,0.0963134765625
726,100.0,4.605170185988092,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.2,0.05,-2.995732273553991,20.0,2.995732273553991,0.4,0.6,0.5,0.09999999999999998
727,40768.0,10.615652738931836,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,0.0002452904238618524,-8.313067645937789,4076.8,8.313067645937789,0.4991169544740973,0.5008830455259027,0.5,0.0008830455259026815
728,4052.0,8.306965865368573,2.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.0017275419545903258,-6.361055716313261,578.8571428571429,6.361055716313261,0.23963474827245804,0.760365251727542,0.5,0.260365251727542
729,44.0,3.784189633918261,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.06818181818181818,-2.6855773452501515,14.666666666666666,2.6855773452501515,0.38636363636363635,0.6136363636363636,0.5,0.11363636363636365
730,250.0,5.521460917862246,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.2,0.02,-3.912023005428146,50.0,3.912023005428146,0.476,0.524,0.5,0.02400000000000002
731,96.0,4.564348191467836,2.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.25,0.041666666666666664,-3.1780538303479458,24.0,3.1780538303479458,0.4895833333333333,0.5104166666666666,0.5,0.010416666666666657
732,250.0,5.521460917862246,2.0,50.0,3.912023005428146,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,50.0,0.02,0.2,-1.6094379124341003,5.0,1.6094379124341003,0.468,0.532,0.5,0.032
733,209.0,5.342334251964811,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.16666666666666666,0.028708133971291867,-3.550574782736756,34.833333333333336,3.550574782736756,0.2679425837320574,0.7320574162679426,0.5,0.2320574162679426
734,13750.0,9.528794103094718,2.0,40.0,3.6888794541139363,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,40.0,0.025,0.002909090909090909,-5.839914648980781,343.75,5.839914648980781,0.42385454545454543,0.5761454545454545,0.5,0.07614545454545454
735,8192.0,9.010913347279288,2.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,12.0,0.08333333333333333,0.00146484375,-6.5260066974912885,682.6666666666666,6.5260066974912885,0.3023681640625,0.6976318359375,0.5,0.1976318359375
736,111.0,4.709530201312334,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.3333333333333333,0.02702702702702703,-3.6109179126442243,37.0,3.6109179126442243,0.4774774774774775,0.5225225225225225,0.5,0.022522522522522515
737,3107.0,8.041412909393047,2.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.16666666666666666,0.0019311232700354038,-6.249653440164993,517.8333333333334,6.249653440164993,0.4959768265207596,0.5040231734792404,0.5,0.004023173479240416
740,1000.0,6.907755278982137,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,0.01,-4.605170185988091,100.0,4.605170185988092,0.44,0.56,0.5,0.060000000000000026
741,1024.0,6.931471805599453,2.0,2.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,0.001953125,-6.238324625039508,512.0,6.238324625039508,0.4970703125,0.5029296875,0.5,0.0029296875
742,500.0,6.214608098422191,2.0,100.0,4.605170185988092,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,100.0,0.01,0.2,-1.6094379124341003,5.0,1.6094379124341003,0.434,0.566,0.5,0.06599999999999998
743,1000.0,6.907755278982137,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.2,0.005,-5.298317366548036,200.0,5.298317366548036,0.457,0.543,0.5,0.04300000000000001
744,250.0,5.521460917862246,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.2,0.02,-3.912023005428146,50.0,3.912023005428146,0.436,0.564,0.5,0.06399999999999997
745,159.0,5.0689042022202315,2.0,15.0,2.70805020110221,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,7.0,0.14285714285714285,0.09433962264150944,-2.3608540011180215,10.6,2.3608540011180215,0.33962264150943394,0.660377358490566,0.5,0.16037735849056603
746,250.0,5.521460917862246,2.0,25.0,3.2188758248682006,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,25.0,0.04,0.1,-2.3025850929940455,10.0,2.302585092994046,0.428,0.572,0.5,0.07199999999999998
747,167.0,5.117993812416755,2.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.023952095808383235,-3.7316994512968646,41.75,3.7316994512968646,0.2275449101796407,0.7724550898203593,0.5,0.27245508982035926
748,163.0,5.093750200806762,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.03067484662576687,-3.484312288372662,32.6,3.484312288372662,0.2883435582822086,0.7116564417177914,0.5,0.2116564417177914
749,500.0,6.214608098422191,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.2,0.01,-4.605170185988091,100.0,4.605170185988092,0.474,0.526,0.5,0.026000000000000023
750,500.0,6.214608098422191,2.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.014,-4.268697949366879,71.42857142857143,4.268697949366879,0.492,0.508,0.5,0.008000000000000007
751,1000.0,6.907755278982137,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,0.01,-4.605170185988091,100.0,4.605170185988092,0.44,0.56,0.5,0.060000000000000026
752,8192.0,9.010913347279288,2.0,32.0,3.4657359027997265,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,32.0,0.03125,0.00390625,-5.545177444479562,256.0,5.545177444479562,0.49609375,0.50390625,0.5,0.00390625
753,194.0,5.267858159063328,2.0,32.0,3.4657359027997265,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,32.0,0.03125,0.16494845360824742,-1.8021222562636017,6.0625,1.8021222562636017,0.4639175257731959,0.5360824742268041,0.5,0.03608247422680411
754,100.0,4.605170185988092,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.2,0.05,-2.995732273553991,20.0,2.995732273553991,0.46,0.54,0.5,0.04000000000000001
755,62.0,4.127134385045092,2.0,5.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.2,0.08064516129032258,-2.517696472610991,12.4,2.517696472610991,0.5,0.5,0.5,0.0
756,159.0,5.0689042022202315,2.0,15.0,2.70805020110221,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,15.0,0.06666666666666667,0.09433962264150944,-2.3608540011180215,10.6,2.3608540011180215,0.33962264150943394,0.660377358490566,0.5,0.16037735849056603
758,67.0,4.204692619390966,2.0,15.0,2.70805020110221,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,7.0,0.14285714285714285,0.22388059701492538,-1.4966424182887559,4.466666666666667,1.496642418288756,0.26865671641791045,0.7313432835820896,0.5,0.23134328358208955
759,66.0,4.189654742026425,2.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,5.5,0.18181818181818182,0.18181818181818182,-1.7047480922384253,5.5,1.7047480922384253,0.5,0.5,0.5,0.0
761,8192.0,9.010913347279288,2.0,21.0,3.044522437723423,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,21.0,0.047619047619047616,0.0025634765625,-5.966390909555866,390.0952380952381,5.966390909555866,0.3023681640625,0.6976318359375,0.5,0.1976318359375
762,100.0,4.605170185988092,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,0.1,-2.3025850929940455,10.0,2.302585092994046,0.45,0.55,0.5,0.05000000000000002
763,250.0,5.521460917862246,2.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,0.04,-3.2188758248682006,25.0,3.2188758248682006,0.5,0.5,0.5,0.0
764,450.0,6.1092475827643655,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.3333333333333333,3.0,0.006666666666666667,-5.0106352940962555,150.0,5.0106352940962555,0.12222222222222222,0.8777777777777778,0.5,0.37777777777777777
765,475.0,6.163314804034641,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.3333333333333333,3.0,0.00631578947368421,-5.064702515366531,158.33333333333334,5.064702515366531,0.13473684210526315,0.8652631578947368,0.5,0.36526315789473685
